id,provider,vehicleType,date_start,time_start,date_end,time_end,year,month,weekday,hour,weekend,longitude_start,latitude_start,longitude_end,latitude_end,coordinates_start,coordinates_end,distance,duration,speed
YmlrZTo6Zm9yZHBhc3M6OjE4MzMzOA==,fordpass,bicycle,2019-11-18,1335,2019-11-19,1245,2019,11,0,13,0,6.9219375,50.95049,6.9214334000000015,50.947918,"(50.9505, 6.9219)","(50.9479, 6.9214)",288.1657755228392,83379.0,0.012441943317648583
YmlrZTo6Zm9yZHBhc3M6OjE4NjcwNg==,fordpass,bicycle,2019-11-18,1335,2019-11-18,1350,2019,11,0,13,0,6.9738419999999985,50.93673,6.9908795,50.936005,"(50.9367, 6.9738)","(50.936, 6.9909)",1196.591889595343,880.0,4.8951486392536765
YmlrZTo6Zm9yZHBhc3M6OjE4MDUwOA==,fordpass,bicycle,2019-11-18,1345,2019-11-19,225,2019,11,0,13,0,6.956142,50.93686,6.9437323000000015,50.937824,"(50.9369, 6.9561)","(50.9378, 6.9437)",876.1517965592316,45596.0,0.06917594674123242
YmlrZTo6Zm9yZHBhc3M6OjE3OTg1Mw==,fordpass,bicycle,2019-11-18,1350,2019-11-18,1410,2019,11,0,13,0,6.932356,50.949078,6.9374323,50.938644,"(50.9491, 6.9324)","(50.9386, 6.9374)",1213.497790883405,1200.0,3.640493372650215
YmlrZTo6Zm9yZHBhc3M6OjE3OTgwOA==,fordpass,bicycle,2019-11-18,1400,2019-11-18,1415,2019,11,0,14,0,6.9113145000000005,50.94455,6.910939,50.945507,"(50.9446, 6.9113)","(50.9455, 6.9109)",109.61735287605694,917.0,0.43034075283948203
YmlrZTo6Zm9yZHBhc3M6OjE3OTg2MA==,fordpass,bicycle,2019-11-18,1425,2019-11-18,1820,2019,11,0,14,0,6.9278836,50.927357,6.9393663,50.92907,"(50.9274, 6.9279)","(50.9291, 6.9394)",827.0056856221183,14100.0,0.2111503878184132
YmlrZTo6Zm9yZHBhc3M6OjE4MDQ1OQ==,fordpass,bicycle,2019-11-18,1440,2019-11-18,1455,2019,11,0,14,0,6.935137700000001,50.93642,6.9288507,50.922558,"(50.9364, 6.9351)","(50.9226, 6.9289)",1603.1262135483885,901.0,6.4053877566861255
YmlrZTo6Zm9yZHBhc3M6OjE4MDUzMA==,fordpass,bicycle,2019-11-18,1445,2019-11-18,1540,2019,11,0,14,0,6.9466160000000015,50.92494,6.9454193,50.925644,"(50.9249, 6.9466)","(50.9256, 6.9454)",114.73124484381457,3300.0,0.12516135801143408
YmlrZTo6Zm9yZHBhc3M6OjE2NjYyMw==,fordpass,bicycle,2019-11-18,1455,2019-11-19,745,2019,11,0,14,0,6.92462,50.92728,6.9104595,50.94941,"(50.9273, 6.9246)","(50.9494, 6.9105)",2653.2616010897164,60599.0,0.15762210207962143
YmlrZTo6Zm9yZHBhc3M6OjE2NzE3NA==,fordpass,bicycle,2019-11-18,1510,2019-11-19,1215,2019,11,0,15,0,6.9583270000000015,50.95007,6.9437284,50.93783,"(50.9501, 6.9583)","(50.9378, 6.9437)",1702.5058075572283,75894.0,0.08075764760331544
