cardinality,proportion,dist_center_start,dist_center_end,duration,weekend,0 Monday,1 Tuesday,2 Wednesday,3 Thursday,4 Friday,5 Saturday,6 Sunday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,night 0-5,morning 6-11,midday 12-17,evening 18-23,Hours 0-2,Hours 3-5,Hours 6-8,Hours 9-11,Hours 12-14,Hours 15-17,Hours 18-20,Hours 21-23
27318,6.8,1550.1,1534.62,15.36,0.02,20.69,22.83,19.55,18.09,16.99,0.51,1.34,0.0,0.0,0.0,1.78,3.25,6.38,12.46,20.51,19.01,12.87,14.31,9.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41,88.59,0.0,0.0,0.0,11.41,51.98,36.61,0.0,0.0,0.0,0.0
22999,5.73,1802.69,1677.94,20.8,1.0,0.17,0.0,0.0,0.0,0.03,57.89,41.92,0.0,0.0,0.0,0.0,0.0,0.04,1.29,4.17,7.14,9.45,11.98,14.69,16.16,17.13,17.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,48.71,51.25,0.0,0.0,0.04,12.59,36.12,51.25,0.0,0.0,0.0
22290,5.55,4797.64,1732.71,33.93,0.06,15.08,15.59,17.81,18.21,26.86,4.35,2.1,0.54,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,6.26,7.58,10.56,14.21,17.21,15.22,10.18,6.99,5.15,2.69,1.18,0.55,0.0,58.05,41.4,0.55,0.0,0.0,0.0,16.07,41.97,32.39,9.01
23068,5.74,1579.22,4495.98,31.22,0.05,17.5,16.76,18.49,18.48,23.37,3.08,2.31,1.34,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14,8.82,11.83,14.28,15.79,12.97,10.8,8.58,5.53,3.03,2.22,0.0,41.08,56.71,2.22,0.0,0.0,0.0,6.14,34.94,39.57,17.14
18561,4.62,4151.32,3839.32,27.32,1.0,0.0,0.0,0.0,0.0,0.01,61.51,38.48,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.57,17.45,16.76,15.6,14.52,10.99,7.52,2.89,0.64,0.08,0.0,47.77,52.16,0.08,0.0,0.0,0.0,0.0,47.77,41.11,11.05
18926,4.71,3891.78,4107.89,27.81,1.0,0.04,0.0,0.0,0.0,0.12,57.8,42.04,0.0,0.0,0.0,0.0,0.0,0.23,1.76,4.77,8.13,10.6,12.25,14.56,16.74,17.0,13.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,52.07,47.7,0.0,0.0,0.23,14.66,37.41,47.7,0.0,0.0,0.0
23281,5.8,1685.93,1847.94,20.89,1.0,0.0,0.0,0.0,0.0,0.06,63.4,36.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14,17.65,17.42,16.64,14.38,10.9,5.87,0.0,0.0,0.0,0.0,52.21,47.79,0.0,0.0,0.0,0.0,0.0,52.21,41.92,5.87
16184,4.03,3022.82,2955.76,92.78,0.16,15.21,16.62,15.51,17.94,18.26,11.49,4.97,0.01,0.4,0.33,0.8,1.79,6.65,14.33,15.11,11.39,11.81,12.36,12.96,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96,77.97,12.07,0.0,0.73,9.23,40.83,37.14,12.07,0.0,0.0,0.0
18584,4.63,3298.6,3338.3,12.3,0.0,18.29,19.78,20.11,20.35,21.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,2.13,5.61,10.82,13.61,12.89,13.12,13.88,13.95,9.82,3.53,0.1,0.0,0.0,0.0,0.0,0.0,19.1,77.28,3.63,0.0,0.0,0.54,18.55,39.63,37.65,3.63,0.0
22666,5.64,1707.28,1820.25,15.86,0.0,13.16,15.08,20.03,21.06,30.62,0.04,0.0,7.75,4.56,4.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,15.06,19.85,18.82,15.59,11.79,16.44,0.0,0.0,83.56,16.33,0.11,0.0,0.0,0.0,0.0,37.37,46.19
