0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
27318.0,22999.0,22290.0,23068.0,18561.0,18926.0,23281.0,16184.0,18584.0,22666.0,23661.0,22659.0,21268.0,23408.0,18971.0,22010.0,18973.0,20365.0,16430.0
6.8,5.73,5.55,5.74,4.62,4.71,5.8,4.03,4.63,5.64,5.89,5.64,5.3,5.83,4.72,5.48,4.72,5.07,4.09
1550.1,1802.69,4797.64,1579.22,4151.32,3891.78,1685.93,3022.82,3298.6,1707.28,1512.27,2840.98,4945.25,1474.89,4265.05,4491.45,2310.71,4094.21,1656.26
1534.62,1677.94,1732.71,4495.98,3839.32,4107.89,1847.94,2955.76,3338.3,1820.25,1589.2,2930.79,4919.94,1532.61,1328.05,4532.13,2763.38,4177.13,4821.0
15.36,20.8,33.93,31.22,27.32,27.81,20.89,92.78,12.3,15.86,17.43,85.36,33.69,17.47,31.3,24.24,18.5,18.4,32.8
0.02,1.0,0.06,0.05,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.19,0.01,0.0,0.08,0.04,0.98,0.01,0.05
20.69,0.17,15.08,17.5,0.0,0.04,0.0,15.21,18.29,13.16,40.22,15.11,18.17,0.0,17.88,17.38,0.9,18.5,17.66
22.83,0.0,15.59,16.76,0.0,0.0,0.0,16.62,19.78,15.08,40.08,14.91,19.56,0.0,17.68,19.82,0.0,18.61,18.49
19.55,0.0,17.81,18.49,0.0,0.0,0.0,15.51,20.11,20.03,19.7,14.26,19.91,12.17,17.31,18.56,0.0,19.74,18.49
18.09,0.0,18.21,18.48,0.0,0.0,0.0,17.94,20.35,21.06,0.0,15.19,19.34,37.57,19.07,20.81,0.0,18.44,19.65
16.99,0.03,26.86,23.37,0.01,0.12,0.06,18.26,21.47,30.62,0.0,21.12,22.04,50.26,19.59,19.92,0.66,23.43,20.7
0.51,57.89,4.35,3.08,61.51,57.8,63.4,11.49,0.0,0.04,0.0,11.77,0.61,0.0,4.72,1.96,55.18,0.71,2.84
1.34,41.92,2.1,2.31,38.48,42.04,36.54,4.97,0.0,0.0,0.0,7.64,0.38,0.0,3.76,1.55,43.25,0.58,2.17
0.0,0.0,0.54,1.34,0.07,0.0,0.0,0.01,0.0,7.75,0.0,0.42,0.0,0.0,0.15,0.0,18.82,5.58,0.0
0.0,0.0,0.01,0.88,0.01,0.0,0.0,0.4,0.0,4.56,0.0,0.0,0.0,0.0,0.87,0.04,14.99,3.53,0.0
